NLP;ML;Balancing;Metric;Value;Percentage
Doc2Vec;NN;NearMiss;F1-Score;0,977145759;97,715
Doc2Vec;NN;NearMiss;MCC;0,956373461;95,637
Doc2Vec;NN;OneSidedSelection;Accuracy;0,993181321;99,318
Doc2Vec;NN;OneSidedSelection;F1-Score;0,774793388;77,479
Doc2Vec;NN;OneSidedSelection;MCC;0,773318381;77,332
Doc2Vec;NN;Oversampler;Accuracy;0,996974066;99,697
Doc2Vec;NN;Oversampler;F1-Score;0,996971763;99,697
Doc2Vec;NN;Oversampler;MCC;0,993966385;99,397
Doc2Vec;NN;SMOTE;Accuracy;0,99657008;99,657
Doc2Vec;NN;SMOTE;F1-Score;0,996563847;99,656
Doc2Vec;NN;SMOTE;MCC;0,993147891;99,315
